sku,product_name,unit,barcode,size_grams,source_sheet,source_row
RB-HK-0201,Sexy Wine 200 g. ( Hillkoff 's Selection roasted),Pcs,8857109038982,200,Sheet1,2435
RB-HK-0200,Sexy Wine 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109038968,500,Sheet1,2436
RB-HK-0449,Single Origin Chiang Dao  Roasted 250 g (Bean),pcs,8857109099730,250,Sheet1,2450
RB-HK-0430,Single Origin Doi Chang  Roasted 250 g (Bean),Pcs,8857109099488,250,Sheet1,2451
RB-HK-0447,Single Origin Doi Sam Muen  Roasted 250 g (Bean),Pcs,8857109099723,250,Sheet1,2452
RB-HK-0454,Single Origin Huai Hom Mae hong son Roasted 250 g (Bean),Pcs,8857109090102,250,Sheet1,2453
RB-HK-0445,Single origin Khun Kong (D)  250 g,Pcs,8857109099693,250,Sheet1,2454
RB-HK-0439,Single Origin Mae Au Kor Roasted 250 g (Bean),Pcs,8857109099624,250,Sheet1,2455
RB-HK-0432,Single Origin Mae Morn  Roasted 250 g (Bean),Pcs,8857109099501,250,Sheet1,2456
RB-HK-0434,Single Origin Mae Salong  Roasted 250 g (Bean),Pcs,8857109099525,250,Sheet1,2457
RB-HK-0451,Single origin Maeai (H)250 g,Pcs,8857109099754,250,Sheet1,2458
RB-HK-0446,Single Origin Pang Keud  Roasted 250 g (Bean),Pcs,8857109099709,250,Sheet1,2459
RB-HK-0438,Single Origin Sop Moei  Roasted 250 g (Bean),Pcs,8857109099617,250,Sheet1,2460
RB-HK-0167,Sweet of LaoWu  200 g. ( Hillkoff 's Selection roasted),Pcs,8857109083098,200,Sheet1,2506
RB-HK-0166,Sweet of LaoWu 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109083074,500,Sheet1,2507
RB-TK-0003,Ta Kang : TA KLOM (B) 500g ( Blue Bag),Pcs,8857109002761,500,Sheet1,2527
RB-TK-0005,Ta Kang : TA SAI (B) 500g ( Blue Bag),pcs,8857109002259,500,Sheet1,2528
RB-TK-0001,Ta Kang : TA TOW (B) 500g ( Blue Bag),Pcs,8857109010209,500,Sheet1,2529
RB-OR-0087,Tao Bin Dark Roast Coffee 250 g.,Pcs,8858840701050,250,Sheet1,2587
RB-HK-0382,Ywangan Arabica Specialty Roasted 200 g.,pcs,8857109097071,200,Sheet1,2837
RB-OR-0110,กาแฟ 3 ดอย 500 กรัม,Pcs,8857109062017,500,Sheet1,2890
